Time,Remote DRAM Accesses,Local DRAM Accesses
2.002020193,18655,28721
4.004101527,337,197
6.006146614,157887,750335
8.008200276,629998,11057524
10.010417295,20661788,31969012
12.013158947,72649656,80566224
14.015509661,72812889,82587390
16.015990228,73132370,83400491
18.018300648,73633353,84130302
20.020010396,74417535,85764191
22.022871091,73923446,84883353
24.024030377,73873900,84610634
26.027456259,74187653,85107732
28.027989874,74077182,84904315
30.030324667,74249178,85149195
32.03230815,74500308,85407312
34.03511814,74504463,85371004
36.038015533,74538758,85353082
38.039990839,74557905,85377960
40.043097197,74628621,85560144
42.043989477,74560778,85603874
44.046477238,74735343,85456091
46.04879817,74722111,85433774
48.051111567,74714784,85693134
50.052105117,74508512,85711467
52.054608215,74693546,85735801
54.056180362,74708816,85817542
56.058762412,74666071,85628372
58.062751954,74852470,85877303
60.065009312,74631730,85838489
62.067353752,74515428,85744446
64.067994338,74687369,85714830
66.070726925,74560189,85830272
68.071992717,74610145,85916123
70.074330075,74738277,85894332
72.076616729,74667748,85719520
74.078958088,74808537,85757424
76.082025339,74715907,85954506
78.08799829,75005052,86002834
80.090344844,75072477,86321368
82.091994819,75211932,86836420
84.09433319,74687041,85734053
86.095993729,74639849,85700411
88.098322974,74745716,85926162
90.099992108,74659475,85676918
92.102306879,74734238,85796447
94.103992396,74798218,85835710
96.106299373,74729301,85592863
98.107993882,74618329,85781067
100.110305824,74755177,85800365
102.11224847,74768013,85776623
104.115991992,74832520,85877242
106.118327342,74649507,85819116
108.11999303,74638055,85665895
110.122308883,74735720,85865639
112.123993443,74717160,85709622
114.127559637,75028003,85828502
116.127992977,74735450,85674766
118.130307512,74736548,85728764
120.131992689,74698957,85649692
122.135651448,74989740,85733413
124.135992787,74809796,85812250
126.138293275,74982468,85679139
128.139992674,74891162,85564234
130.142865982,74964069,85879125
132.143992494,74847743,85620993
134.147046677,74922688,85782828
136.147992609,74745911,85661664
138.150658064,74926610,85607098
140.152063233,74724440,85710090
142.153624324,75031276,86704060
144.158049266,74967142,85906892
146.159992875,74608309,85337245
148.162380928,74958072,85779156
150.163994646,74740869,85716206
152.166295221,74741060,85702541
154.167993887,74758654,85726369
156.169964867,74815298,85761956
158.172225282,74714517,85735841
160.1746889,74712470,85815341
162.176469138,74779074,85763288
164.179336722,74754036,85807438
166.180001827,74667296,85703192
168.182513239,74720130,85718770
170.185201342,74778993,85682569
172.187516796,74625649,85912498
174.187993783,74731168,85757954
176.190472582,74635148,85787905
178.193093679,74642739,85712651
180.195435314,74758840,85697390
182.195992715,74716252,85717199
184.203784755,74987475,85875165
186.206150408,74844379,85758888
188.207992641,74790985,85630253
189.509529987,47248951,54329962
