Time,Remote DRAM Accesses,Local DRAM Accesses
2.002093937,18130,36418
4.004371048,1061,1709
6.006577016,2063,2513
8.008782804,4113730,4101776
10.010937656,6312856,7725540
12.011993586,26815032,110504959
14.0143628,26766662,111965345
16.015901482,26602723,112040887
18.018324665,26916448,113288571
20.019923939,26986254,113884855
22.022435298,27117357,114546276
24.023878316,27381399,115578392
26.026365013,27521444,116067551
28.028800897,27315067,115416205
30.031299598,27059868,114290951
32.031978281,27270581,115147376
34.034349636,27254087,115306118
36.035882794,26531159,112401998
38.038480951,26573100,112590768
40.039872717,27225205,114997937
42.042255872,27470158,116063170
44.04387121,27477276,116152233
46.04628751,27408636,115962082
48.048704011,27485925,116324661
50.051116679,27375522,115775417
52.053501441,27190030,115108548
54.05590121,27465356,116157038
56.058388379,27612170,116836972
58.059889053,27391022,115947576
60.062329119,27279107,115503206
62.064770945,27772788,117207933
64.067248548,27790703,117259396
66.067896815,27755857,117315751
68.070350912,27839132,117836516
70.072825492,27511863,116412252
72.075266571,27374135,115800505
74.07589142,27548046,116386223
76.078264663,27859352,117899379
78.080704483,27537465,116394891
80.083106126,27790479,117579124
82.085543996,27828393,117691384
84.087940029,27634144,116947568
86.090414657,27790449,117558491
88.092835896,27463804,116173542
90.095346204,27735510,117472726
92.097753926,27522215,116436137
94.099884813,27504411,116192139
96.102333566,27414223,116149578
98.103889658,27571674,116687599
100.106384092,27288645,115653511
102.107969545,27752933,117297644
104.11039375,27608241,116950642
106.112813061,27803354,117635587
108.115229037,27614588,116848204
110.11599267,27497396,116430383
112.118418697,27670136,117140696
114.12086621,27721627,117353451
116.123280581,27516394,116504941
118.123883308,27639098,116916326
120.126412004,27680496,117112529
122.127873482,27818559,117514365
124.130395929,28067785,118162133
126.131986953,27776760,117368222
128.134401438,27820311,117611530
130.135891387,27714948,117234999
132.138328518,27522498,116275142
134.140760613,27640060,116816133
136.143228028,27753030,117492766
138.145706061,27507967,116465857
140.148160887,27902274,117799801
142.150565385,27681999,117111836
144.151908387,27906879,117996228
146.154298692,27620437,116916806
148.155905844,27711540,117359194
150.158400809,27900637,118125961
152.159955782,27930312,118319783
154.162399364,28053378,118693910
156.163867303,27845506,117809271
158.166290403,27617405,116654502
160.167944726,27765092,117440976
162.170349351,27814032,117365553
164.171880783,27507949,116353139
166.174284337,27842491,117798934
168.175891796,27469696,116372430
170.178358674,27783275,117393889
172.179896724,27776866,117456564
174.182377073,27573527,116654927
176.18396486,27802997,117592854
178.186317185,27895059,117996749
180.187879792,27813685,117653229
182.1902991,27729164,117453971
184.192750744,28047268,118588248
186.195174384,27950633,118136861
188.195898943,27903106,117836747
190.198436238,27861703,117788483
192.199918486,28008489,118404871
194.202374717,27609892,116904737
196.203891541,27552486,116626740
198.206311387,27561959,116620102
200.207952875,27976473,118288364
202.21043195,27965939,118290070
204.212914679,27835372,117930052
206.215422516,27946697,118287991
208.215981123,28101804,118887306
210.218371357,27900061,118200203
212.220820505,27840713,117866268
214.223341791,28069624,118955558
216.223882843,27668989,117096222
218.226354216,27841973,117880008
220.228767066,27545654,116682762
222.231272357,27648220,116958202
224.233779348,27829567,117509624
226.23590579,27896229,118155826
228.23844987,27891733,118046818
230.239944649,27812367,117625424
232.24240997,27678529,117069015
234.24399979,27398287,116043723
236.246576516,27395031,115828282
238.249108281,27364898,115810339
240.251548687,27555090,116804646
242.254000997,27687647,117064640
244.255895759,27484806,116405446
246.25843802,28119693,118753962
248.26100946,27871049,117879210
250.26343947,27761340,117424828
252.263996811,27258839,115354697
254.266554304,27254184,115365902
256.269016708,27650457,116984604
258.271457754,27197497,115243993
260.273900972,27428256,116269485
262.275953254,27705013,117284464
264.278429629,27394187,116094347
266.279998948,27581596,116822510
268.282477712,27689681,117143807
270.284964343,27713867,117451644
272.287481488,27695236,117371978
274.290005737,27810252,117712286
276.291969468,27903563,118018473
278.294452553,27893084,117927538
280.295985327,27856836,117878130
282.298543571,27946646,118200268
284.299882103,27826019,117737250
286.302298251,27783511,117526738
288.303966128,27983009,118234191
290.306412904,28089300,118830869
292.308933853,27876836,117891995
294.311350081,27744750,117411187
296.311998823,27644760,116942602
298.314506825,27731597,117243280
300.315884973,27855382,117919212
302.318344809,27811758,117837574
304.319945193,28020515,118437075
306.322376632,27975134,118259603
308.324844522,27406103,115909251
310.03618217,22620438,95432281
