# started on Mon Jan 26 13:40:07 2026

#           time             counts unit events
     2.002024354          1,946,591      ocr.demand_data_rd.remote_dram                                        
    88.088793741            751,931      ocr.demand_data_rd.local_dram                                         
    90.091252510             88,478      ocr.demand_data_rd.remote_dram                                        
    90.091252510            769,926      ocr.demand_data_rd.local_dram                                         
    92.092790541            103,876      ocr.demand_data_rd.remote_dram                                        
    92.092790541            817,299      ocr.demand_data_rd.local_dram                                         
    94.095314142             98,811      ocr.demand_data_rd.remote_dram                                        
    94.095314142            775,106      ocr.demand_data_rd.local_dram                                         
    96.096793690             85,568      ocr.demand_data_rd.remote_dram                                        
    96.096793690            746,962      ocr.demand_data_rd.local_dram                                         
    98.099248305             98,807      ocr.demand_data_rd.remote_dram                                        
    98.099248305            769,295      ocr.demand_data_rd.local_dram                                         
   100.100794097             88,337      ocr.demand_data_rd.remote_dram                                        
   100.100794097            768,895      ocr.demand_data_rd.local_dram                                         
   102.103229017             85,692      ocr.demand_data_rd.remote_dram                                        
   102.103229017            746,299      ocr.demand_data_rd.local_dram                                         
   104.104790850             85,991      ocr.demand_data_rd.remote_dram                                        
   104.104790850            752,108      ocr.demand_data_rd.local_dram                                         
#           time             counts unit events
   106.107294805             85,465      ocr.demand_data_rd.remote_dram                                        
   106.107294805            751,221      ocr.demand_data_rd.local_dram                                         
   108.108789536             85,629      ocr.demand_data_rd.remote_dram                                        
   108.108789536            752,297      ocr.demand_data_rd.local_dram                                         
   110.111493793             87,494      ocr.demand_data_rd.remote_dram                                        
   110.111493793            751,425      ocr.demand_data_rd.local_dram                                         
   112.112830552             84,483      ocr.demand_data_rd.remote_dram                                        
   112.112830552            743,850      ocr.demand_data_rd.local_dram                                         
   114.115286091             87,577      ocr.demand_data_rd.remote_dram                                        
   114.115286091            753,577      ocr.demand_data_rd.local_dram                                         
   116.116792380             96,554      ocr.demand_data_rd.remote_dram                                        
   116.116792380            777,113      ocr.demand_data_rd.local_dram                                         
   118.119349959             89,033      ocr.demand_data_rd.remote_dram                                        
   118.119349959            766,832      ocr.demand_data_rd.local_dram                                         
   120.120792843             89,659      ocr.demand_data_rd.remote_dram                                        
   120.120792843            763,494      ocr.demand_data_rd.local_dram                                         
   122.123487351             85,871      ocr.demand_data_rd.remote_dram                                        
   122.123487351            748,675      ocr.demand_data_rd.local_dram                                         
   124.124791697             87,648      ocr.demand_data_rd.remote_dram                                        
   124.124791697            755,997      ocr.demand_data_rd.local_dram                                         
   126.127275642             83,949      ocr.demand_data_rd.remote_dram                                        
   126.127275642            740,883      ocr.demand_data_rd.local_dram                                         
   128.128859552             83,860      ocr.demand_data_rd.remote_dram                                        
   128.128859552            744,724      ocr.demand_data_rd.local_dram                                         
   130.131473874             85,431      ocr.demand_data_rd.remote_dram                                        
   130.131473874            754,536      ocr.demand_data_rd.local_dram                                         
   132.132795030             83,609      ocr.demand_data_rd.remote_dram                                        
   132.132795030            752,501      ocr.demand_data_rd.local_dram                                         
   134.135319658             86,841      ocr.demand_data_rd.remote_dram                                        
   134.135319658            761,772      ocr.demand_data_rd.local_dram                                         
   136.136792318             88,470      ocr.demand_data_rd.remote_dram                                        
   136.136792318            761,779      ocr.demand_data_rd.local_dram                                         
   138.139266697             89,650      ocr.demand_data_rd.remote_dram                                        
   138.139266697            759,799      ocr.demand_data_rd.local_dram                                         
   140.140787531             87,404      ocr.demand_data_rd.remote_dram                                        
   140.140787531            753,775      ocr.demand_data_rd.local_dram                                         
   142.143221789             83,974      ocr.demand_data_rd.remote_dram                                        
   142.143221789            743,028      ocr.demand_data_rd.local_dram                                         
   144.144847794             87,223      ocr.demand_data_rd.remote_dram                                        
   144.144847794            744,691      ocr.demand_data_rd.local_dram                                         
   146.147366933             88,277      ocr.demand_data_rd.remote_dram                                        
   146.147366933            758,659      ocr.demand_data_rd.local_dram                                         
   148.148788078             89,047      ocr.demand_data_rd.remote_dram                                        
   148.148788078            756,384      ocr.demand_data_rd.local_dram                                         
   150.151277709             89,088      ocr.demand_data_rd.remote_dram                                        
   150.151277709            755,725      ocr.demand_data_rd.local_dram                                         
   152.152789485             87,328      ocr.demand_data_rd.remote_dram                                        
   152.152789485            757,018      ocr.demand_data_rd.local_dram                                         
   154.155389769            115,647      ocr.demand_data_rd.remote_dram                                        
   154.155389769            831,886      ocr.demand_data_rd.local_dram                                         
   156.156836559             89,570      ocr.demand_data_rd.remote_dram                                        
   156.156836559            772,639      ocr.demand_data_rd.local_dram                                         
#           time             counts unit events
   158.159471296             96,474      ocr.demand_data_rd.remote_dram                                        
   158.159471296            766,446      ocr.demand_data_rd.local_dram                                         
   160.160793569             89,353      ocr.demand_data_rd.remote_dram                                        
   160.160793569            764,375      ocr.demand_data_rd.local_dram                                         
   162.163375008             85,757      ocr.demand_data_rd.remote_dram                                        
   162.163375008            751,636      ocr.demand_data_rd.local_dram                                         
   164.164846956             88,659      ocr.demand_data_rd.remote_dram                                        
   164.164846956            760,332      ocr.demand_data_rd.local_dram                                         
   166.167417263             86,949      ocr.demand_data_rd.remote_dram                                        
   166.167417263            761,748      ocr.demand_data_rd.local_dram                                         
   168.169159699             86,984      ocr.demand_data_rd.remote_dram                                        
   168.169159699            755,345      ocr.demand_data_rd.local_dram                                         
   170.171686262             89,754      ocr.demand_data_rd.remote_dram                                        
   170.171686262            760,076      ocr.demand_data_rd.local_dram                                         
   172.172976947             85,395      ocr.demand_data_rd.remote_dram                                        
   172.172976947            744,788      ocr.demand_data_rd.local_dram                                         
   174.175468003             89,118      ocr.demand_data_rd.remote_dram                                        
   174.175468003            756,469      ocr.demand_data_rd.local_dram                                         
   176.176794928             90,901      ocr.demand_data_rd.remote_dram                                        
   176.176794928            755,719      ocr.demand_data_rd.local_dram                                         
   178.179276521             91,021      ocr.demand_data_rd.remote_dram                                        
   178.179276521            766,535      ocr.demand_data_rd.local_dram                                         
   180.180791324             88,302      ocr.demand_data_rd.remote_dram                                        
   180.180791324            760,464      ocr.demand_data_rd.local_dram                                         
   182.183251353             85,728      ocr.demand_data_rd.remote_dram                                        
   182.183251353            762,239      ocr.demand_data_rd.local_dram                                         
   184.184815038             92,211      ocr.demand_data_rd.remote_dram                                        
   184.184815038            765,265      ocr.demand_data_rd.local_dram                                         
   186.187264635             91,552      ocr.demand_data_rd.remote_dram                                        
   186.187264635            764,322      ocr.demand_data_rd.local_dram                                         
   188.188850225             86,776      ocr.demand_data_rd.remote_dram                                        
   188.188850225            749,727      ocr.demand_data_rd.local_dram                                         
   190.191301811             90,559      ocr.demand_data_rd.remote_dram                                        
   190.191301811            760,325      ocr.demand_data_rd.local_dram                                         
   192.192841271             85,601      ocr.demand_data_rd.remote_dram                                        
   192.192841271            744,817      ocr.demand_data_rd.local_dram                                         
   194.195393979             87,984      ocr.demand_data_rd.remote_dram                                        
   194.195393979            754,832      ocr.demand_data_rd.local_dram                                         
   196.196846265             88,917      ocr.demand_data_rd.remote_dram                                        
   196.196846265            763,526      ocr.demand_data_rd.local_dram                                         
   198.199298715             86,320      ocr.demand_data_rd.remote_dram                                        
   198.199298715            767,164      ocr.demand_data_rd.local_dram                                         
   200.200788377             89,786      ocr.demand_data_rd.remote_dram                                        
   200.200788377            759,578      ocr.demand_data_rd.local_dram                                         
   202.203285565             86,570      ocr.demand_data_rd.remote_dram                                        
   202.203285565            757,047      ocr.demand_data_rd.local_dram                                         
   204.204799111             86,002      ocr.demand_data_rd.remote_dram                                        
   204.204799111            752,178      ocr.demand_data_rd.local_dram                                         
   206.207238265             91,328      ocr.demand_data_rd.remote_dram                                        
   206.207238265            754,744      ocr.demand_data_rd.local_dram                                         
   208.208809868             87,643      ocr.demand_data_rd.remote_dram                                        
   208.208809868            751,411      ocr.demand_data_rd.local_dram                                         
#           time             counts unit events
   210.211423264             88,448      ocr.demand_data_rd.remote_dram                                        
   210.211423264            755,168      ocr.demand_data_rd.local_dram                                         
   212.212789404             86,602      ocr.demand_data_rd.remote_dram                                        
   212.212789404            745,710      ocr.demand_data_rd.local_dram                                         
   214.215235123            104,809      ocr.demand_data_rd.remote_dram                                        
   214.215235123            830,784      ocr.demand_data_rd.local_dram                                         
   216.216787243            101,291      ocr.demand_data_rd.remote_dram                                        
   216.216787243            788,574      ocr.demand_data_rd.local_dram                                         
   218.219292640             87,374      ocr.demand_data_rd.remote_dram                                        
   218.219292640            767,004      ocr.demand_data_rd.local_dram                                         
   220.220827271             97,762      ocr.demand_data_rd.remote_dram                                        
   220.220827271            761,016      ocr.demand_data_rd.local_dram                                         
   222.223300622             87,218      ocr.demand_data_rd.remote_dram                                        
   222.223300622            746,847      ocr.demand_data_rd.local_dram                                         
   222.481077682          2,932,566      ocr.demand_data_rd.remote_dram                                        
   222.481077682          2,543,498      ocr.demand_data_rd.local_dram                                         
