# started on Mon Jan 26 13:29:34 2026

#           time             counts unit events
    88.089063656            696,775      ocr.demand_data_rd.local_dram                                         
    90.090484829             74,006      ocr.demand_data_rd.remote_dram                                        
    90.090484829            675,249      ocr.demand_data_rd.local_dram                                         
    92.092932121             74,445      ocr.demand_data_rd.remote_dram                                        
    92.092932121            672,150      ocr.demand_data_rd.local_dram                                         
    94.094485250             74,622      ocr.demand_data_rd.remote_dram                                        
    94.094485250            690,357      ocr.demand_data_rd.local_dram                                         
    96.096929081             76,021      ocr.demand_data_rd.remote_dram                                        
    96.096929081            678,107      ocr.demand_data_rd.local_dram                                         
    98.098497806             75,010      ocr.demand_data_rd.remote_dram                                        
    98.098497806            683,546      ocr.demand_data_rd.local_dram                                         
   100.100999957             73,731      ocr.demand_data_rd.remote_dram                                        
   100.100999957            682,556      ocr.demand_data_rd.local_dram                                         
   102.102483602             76,012      ocr.demand_data_rd.remote_dram                                        
   102.102483602            669,080      ocr.demand_data_rd.local_dram                                         
   104.105052342             75,637      ocr.demand_data_rd.remote_dram                                        
   104.105052342            686,204      ocr.demand_data_rd.local_dram                                         
#           time             counts unit events
   106.106589736             74,066      ocr.demand_data_rd.remote_dram                                        
   106.106589736            683,607      ocr.demand_data_rd.local_dram                                         
   108.109018236             76,235      ocr.demand_data_rd.remote_dram                                        
   108.109018236            671,323      ocr.demand_data_rd.local_dram                                         
   110.110484891             73,826      ocr.demand_data_rd.remote_dram                                        
   110.110484891            681,011      ocr.demand_data_rd.local_dram                                         
   112.112954564             73,358      ocr.demand_data_rd.remote_dram                                        
   112.112954564            667,550      ocr.demand_data_rd.local_dram                                         
   114.114569674             73,968      ocr.demand_data_rd.remote_dram                                        
   114.114569674            685,193      ocr.demand_data_rd.local_dram                                         
   116.117018152             94,537      ocr.demand_data_rd.remote_dram                                        
   116.117018152            759,606      ocr.demand_data_rd.local_dram                                         
   118.118482506             82,578      ocr.demand_data_rd.remote_dram                                        
   118.118482506            697,207      ocr.demand_data_rd.local_dram                                         
   120.120934485             87,867      ocr.demand_data_rd.remote_dram                                        
   120.120934485            695,542      ocr.demand_data_rd.local_dram                                         
   122.122485734             75,967      ocr.demand_data_rd.remote_dram                                        
   122.122485734            683,132      ocr.demand_data_rd.local_dram                                         
   124.124945234             76,951      ocr.demand_data_rd.remote_dram                                        
   124.124945234            679,829      ocr.demand_data_rd.local_dram                                         
   126.126509201             73,434      ocr.demand_data_rd.remote_dram                                        
   126.126509201            684,514      ocr.demand_data_rd.local_dram                                         
   128.128990466             73,923      ocr.demand_data_rd.remote_dram                                        
   128.128990466            674,731      ocr.demand_data_rd.local_dram                                         
   130.130481416             73,874      ocr.demand_data_rd.remote_dram                                        
   130.130481416            676,469      ocr.demand_data_rd.local_dram                                         
   132.132919870             71,108      ocr.demand_data_rd.remote_dram                                        
   132.132919870            665,839      ocr.demand_data_rd.local_dram                                         
   134.134486989             75,932      ocr.demand_data_rd.remote_dram                                        
   134.134486989            686,939      ocr.demand_data_rd.local_dram                                         
   136.137001648             72,104      ocr.demand_data_rd.remote_dram                                        
   136.137001648            670,713      ocr.demand_data_rd.local_dram                                         
   138.138486621             74,276      ocr.demand_data_rd.remote_dram                                        
   138.138486621            688,918      ocr.demand_data_rd.local_dram                                         
   140.140960722             76,803      ocr.demand_data_rd.remote_dram                                        
   140.140960722            686,909      ocr.demand_data_rd.local_dram                                         
