Time,Remote DRAM Accesses,Local DRAM Accesses
2.002021828,68763,112504
4.004306325,83473,255423
6.006378311,79299,190063
8.008494732,100350,231189
10.01056808,83407,217344
12.012646688,102245,222943
14.014734925,79301,182100
16.016823262,119607,286531
18.018914044,97571,268578
20.020984706,88721,241717
22.023074526,95094,250527
24.025164757,78584,216509
26.02725104,112961,258331
28.029329939,94751,271487
30.031419919,82389,261640
32.033532172,78453,232055
34.035610349,97107,255410
36.037696081,88600,251304
38.040051426,87973,244814
40.042152176,92853,203987
42.044226857,99977,254202
44.046304724,94122,238114
46.048387369,87878,250709
48.050470426,86662,247861
50.052542111,96937,219352
52.054628124,78270,219267
54.056711681,73071,182938
56.058800249,76447,193329
58.060908561,78555,237430
60.06299002,80612,220123
62.065096538,91565,214397
64.067187115,73826,233812
66.069272483,70011,226111
68.071345576,61720,213660
70.073725364,55734,203497
72.075796603,57160,209764
74.077963348,100922,341159
76.080048074,129086,384918
78.08212258,91146,309966
80.084221113,69803,267309
82.086300068,63496,255919
84.088375008,58295,236265
86.090477923,238622,389499302
88.093180741,385545,734223454
90.095824484,384851,734264574
92.098449762,383547,732874448
94.101149554,392527,734102800
96.103800712,391784,734268067
98.106437792,389915,734082417
100.109286082,387596,734312258
102.111859048,382506,734100265
104.114490407,385290,734066356
106.117160592,387102,734114198
108.119905953,383656,734212838
110.122568342,381198,734432666
112.125281259,381130,734211031
114.127963949,391049,734360796
116.130555531,387257,733841177
118.131455244,387382,733485139
120.134004675,390752,734186569
122.136724816,386420,734004808
124.139355805,388908,734307491
126.141958008,391869,734320744
128.144633513,388781,734158552
130.147203252,389677,734224667
132.150022466,387099,734143018
134.152698602,387924,733904409
136.155366239,392939,734260139
138.157975157,387482,734009828
140.160676704,387918,734068554
142.163274119,385521,734114228
144.166050702,382338,732914584
146.168764744,391606,734079853
148.171423094,388955,734094478
150.174014286,390601,734060345
152.176702637,389606,734157388
154.179344147,387580,734322678
156.182019452,388741,734167092
158.184745105,388348,734321806
160.187358842,388612,734392967
162.190214066,389883,734306797
164.192938507,390068,734104449
166.195624464,389527,734215751
168.19821755,391743,734139549
170.200882876,388843,734114568
172.203512101,388197,734134422
174.206118253,389204,734073175
176.208812946,386205,733932696
178.211423456,390312,734136534
180.214161223,386325,734094256
182.216896073,387538,734145070
184.219533235,384582,734100105
186.222137142,387527,734279539
188.224816846,385120,734095244
190.227504876,389984,734241550
192.230376692,388917,733763830
194.233089881,389046,734276182
196.235757632,389614,734281657
198.238370426,387942,734168162
200.241090168,383962,734127862
202.243752288,384802,734088495
204.246382726,385336,734030682
205.46149342,165403,323126725
