Time,Remote DRAM Accesses,Local DRAM Accesses
2.002138475,79400,617907
4.004399652,45274,203908
6.006581741,20099,113197
8.008770642,21814,109323
10.010961376,20692,102667
12.013153646,19240,95643
14.015340543,40699,129559
16.017530135,25813,127783
18.019718476,21043,102847
20.021944539,25305,129346
22.024129472,23370,105985
24.026304558,26978,125335
26.02849011,23008,100314
28.03066269,38222,90740
30.032853971,24250,77449
32.035087161,22521,117885
34.037272387,20926,106262
36.039417526,24696083,108909
38.043840131,567683389,353672
40.046296269,583136516,260898
42.047841783,581860756,305763
44.051831045,583088014,284572
46.0542636,582866845,258222
48.055837587,582507569,315643
50.058305765,582746127,269927
52.063835994,583674156,300953
54.066291668,582523785,304984
56.067841125,582748166,269141
58.070250433,582182532,322873
60.071837808,582971018,254031
62.074247871,582484723,303367
64.075834583,582746224,276216
66.078251934,582697237,263808
68.079837463,581984613,361963
70.083831802,583106438,289767
72.09184424,584111227,303645
74.094343876,583030181,298823
76.095840729,582144682,274699
78.098285429,582892242,317601
80.099838314,581992149,276556
82.105862823,584075148,309741
84.107839506,582274744,297887
86.110285502,583373034,273003
88.11183853,581607333,314205
90.117855207,577451458,407616
92.120350391,582112024,314820
94.122844823,582121488,348638
96.123837215,582085544,295576
98.12643941,583180929,333069
100.128867152,582497270,290282
102.135852563,584287161,301481
104.138308531,582403514,311707
106.140877384,582949338,255410
108.143328786,582555825,348686
110.14591679,582558167,267905
112.151836514,583343767,308593
114.154318731,582128975,291160
116.155837928,582951673,274562
118.161869071,583296424,324200
120.163836149,582936360,254275
122.166362746,582334142,301997
124.168881817,583364231,275282
126.175834886,583661865,278227
128.17828737,582978963,358524
130.179835673,582092437,282408
132.182282988,583033384,303006
134.183835695,582218336,323291
136.189858246,584224618,262489
138.19183558,581864038,335847
140.194279756,583225996,257983
142.195837724,581792553,300423
144.198419111,582788106,301162
146.201889198,582798630,289453
148.204365588,582742493,322743
150.206947308,575420743,416533
152.213862214,583375214,352784
154.215838533,581257401,351051
156.218364685,502978301,459424
156.722011298,595620,492870
