Time,Remote DRAM Accesses,Local DRAM Accesses
2.002018784,77243,130111
4.004272003,76996,265346
6.00635898,80838,199756
8.008461908,86552,199213
10.010540809,78464,187602
12.012644067,93446,195097
14.014741635,69204,175740
16.01682801,111981,294931
18.01892711,98249,244809
20.021005611,83602,242528
22.023121323,90882,262914
24.025226826,75547,207198
26.027330144,111198,265916
28.029434235,85867,280361
30.031542954,59514,251617
32.033659257,81870,217328
34.035727187,99233,215303
36.038009002,76235,240098
38.040172577,68145,252738
40.042280404,68873,206881
42.044388432,88495,226894
44.046476491,78218,198215
46.048572455,80059,263060
48.050670994,72927,244258
50.052738954,74924,211397
52.054847212,64165,181642
54.056946703,76048,192431
56.059015044,75045,185927
58.061082593,74259,191897
60.063158258,68523,196071
62.065261596,80908,212176
64.067378003,65128,192932
66.069647454,60891,192753
68.071729863,68182,184631
70.073847289,63517,170473
72.075918917,57784,162953
74.078104296,70395,309408
76.080212514,129711,390691
78.082321615,85193,254563
80.08441257,69891,227356
82.086523735,67777,222051
84.08863532,70552,220333
86.090745652,77389588,139248
88.093652779,519176660,303301
90.095636327,519858093,303174
92.098271828,520142201,304879
94.09963882,521195891,309955
96.102596024,521662549,311341
98.103634128,519532260,307278
100.106415352,520480332,310157
102.107638585,519161090,305837
104.110173531,520330323,309329
106.111645807,518171064,301065
108.114565609,519798561,307129
110.115634092,523292404,309591
112.118302487,523152534,313106
114.119647647,521185563,309013
116.122549003,521928105,311363
118.12363478,521077259,306657
120.126184144,518099941,307104
122.127636972,520295723,306948
124.130375843,519233830,311456
126.131637231,520775322,312934
128.134374117,519831642,309803
130.135638095,520622486,304579
132.138197324,517852622,306824
134.139636042,522105168,316414
136.142329421,519302944,306139
138.143638126,524175985,310545
140.146303171,522677780,309582
142.147635291,523854024,306153
144.150295266,521738150,306432
146.15163893,519204929,304581
148.1542351,520674944,309896
150.155641305,521439460,311304
152.158367538,521370524,309234
154.159634753,520353273,306600
156.162200986,520734670,304854
158.163636056,520453968,307963
160.166291662,522371188,308574
162.169004349,522245465,304166
164.171660457,523286666,309690
166.174292306,521834934,307849
168.17708618,519939569,305700
170.179997422,521256498,305403
172.182937178,522560904,304263
174.185852999,522856189,306081
176.188515669,521137927,306665
178.191357727,523192532,307441
180.194328243,519522683,305391
182.197146665,521853587,307580
184.199985817,522006728,307486
186.202606706,521985496,306668
188.205480535,519761657,300709
190.208254119,520290146,306126
192.21091204,521382314,306490
194.213726722,522160167,308640
196.216482373,523191977,306715
198.219399237,521967495,309979
200.222221387,522958186,309375
202.225004401,522580848,307245
204.227735004,520407582,305540
206.19496517,436479795,258530
